code,user,repo,branch,stars,description
opendata-swiss-ckanext-switzerland,opendata-swiss,ckanext-switzerland,master,9,DCAT-AP Switzerland & Templates
okfn-ckanext-pdeu,okfn,ckanext-pdeu,master,9,Custom CKAN Extension for PublicData.eu
datopian-ckanext-blob-storage,datopian,ckanext-blob-storage,master,9,"CKAN extension to offload blob storage to cloud storage providers (S3, GCS, Azure etc)."
okfn-ckanext-envvars,okfn,ckanext-envvars,master,9,CKAN configuration settings available from env vars
EnviDat-ckanext-restricted,EnviDat,ckanext-restricted,master,8,CKAN extension for restricting access to resources
geosolutions-it-ckanext-dcatapit,geosolutions-it,ckanext-dcatapit,master,8,CKAN extension for the Italian Open Data Portals (DCAT_AP-IT)
AppGeo-ckanext-agsview,AppGeo,ckanext-agsview,master,8,
transparenzportalhamburg-ckanext-fulltext,transparenzportalhamburg,ckanext-fulltext,master,8,
kata-csc-ckanext-kata,kata-csc,ckanext-kata,master,8,Kata extension for CKAN
datagovuk-ckanext-os,datagovuk,ckanext-os,master,8,Spatial widgets developed in mainly by Ordnance Survey (CKAN extension)
stadt-karlsruhe-ckanext-discovery,stadt-karlsruhe,ckanext-discovery,master,8,A CKAN extension to help people discover your data
AjuntamentdeBarcelona-ckanext-odatabcn,AjuntamentdeBarcelona,ckanext-odatabcn,master,8,
whythawk-ckanext-odata,whythawk,ckanext-odata,master,7,
CodeForAfrica-ckanext-openafrica,CodeForAfrica,ckanext-openafrica,master,7,A CKAN extension to style and add features to the openAFRICA platform. Accessible at http://openafrica.net
datagovuk-ckanext-datapreview,datagovuk,ckanext-datapreview,master,7,Data preview for ckan from local resource cache
NaturalHistoryMuseum-ckanext-dataspatial,NaturalHistoryMuseum,ckanext-dataspatial,master,7,Ckan extension to enable geospatial searches within the datastore
aptivate-ckanext-datasetthumbnail,aptivate,ckanext-datasetthumbnail,master,7,A CKAN plugin that generates thumbnails for datasets
datopian-ckanext-versioning,datopian,ckanext-versioning,master,7,Deprecated. See https://github.com/datopian/ckanext-versions. ⏰ CKAN extension providing data versioning (metadata and files) based on git and github.
datopian-ckanext-sweden,datopian,ckanext-sweden,master,7,"CKAN extension for Öppnadata.se, the Swedish data management platform"
OpenGov-OpenData-ckanext-cartodbmap,OpenGov-OpenData,ckanext-cartodbmap,master,7,CKAN CartoDB ResourceView
tdt-ckanext-tdt,tdt,ckanext-tdt,master,7,A The DataTank extension for CKAN
REEEP-ckanext-climate-tagger,REEEP,ckanext-climate-tagger,master,7,Climate Tagger CKAN Extension - provides suggested tags for climate compatible content for CKAN
datopian-ckanext-datagm,datopian,ckanext-datagm,master,7,Code and theme for the Data GM Open Data Portal at http://datagm.org.uk/
datopian-ckanext-authz-service,datopian,ckanext-authz-service,master,7,Use CKAN to provide authorization tokens for other related systems
ckan-ckanext-intro,ckan,ckanext-intro,master,6,A quick interactive introduction to writing CKAN extensions
datawagovau-ckanext-datawagovautheme,datawagovau,ckanext-datawagovautheme,master,6,CKAN customisations and theme for data.wa.gov.au
milicp-ckanext-lire,milicp,ckanext-lire,master,6,CKAN extension for managing datasets relationships
ckan-ckanext-s3archive,ckan,ckanext-s3archive,master,6,Archive CKAN datastore to S3
OpenGov-OpenData-ckanext-cob_theme,OpenGov-OpenData,ckanext-cob_theme,master,6,City of Boston CKAN theme based on brand guidelines designed by IDEO
ckan-ckanext-drupal7,ckan,ckanext-drupal7,master,6,Drupal7 authentication for ckan
DataShades-ckanext-cloudconnector,DataShades,ckanext-cloudconnector,master,6,An extension for the CKAN open data platform for storing resources on cloud storage
ckan-ckanext-deadoralive,ckan,ckanext-deadoralive,master,6,A CKAN extension for the Dead or Alive link checker service
datopian-ckanext-tayside,datopian,ckanext-tayside,master,6,Main extension for Tayside
datopian-ckanext-versions,datopian,ckanext-versions,main,6,A CKAN extension for data versioning. Specifically dataset and resource versions.
datopian-ckanext-orgdashboards,datopian,ckanext-orgdashboards,master,6,:clipboard: CKAN extension for creating organization dashboards :clipboard:
aptivate-ckanext-datasetversions,aptivate,ckanext-datasetversions,master,6,CKAN extension to support multiple versions of a dataset
bcgov-ckanext-openapiviewer,bcgov,ckanext-openapiviewer,master,6,BC Data Catalogue extension for OpenAPI (AKA Swagger) console
okfn-ckanext-inspire,okfn,ckanext-inspire,master,6,
okfn-ckanext-lacounts,okfn,ckanext-lacounts,master,6,CKAN extension for the LA Counts project
